instruction      nextReg  expA     expB
1001010000001000,00000000,--------,--------
1001010000011000,00000000,--------,--------
1001010000101000,00000000,--------,--------
1001010000111000,00000000,--------,--------
1001010001001000,00000000,--------,--------
1001010001011000,00000000,--------,--------
1001010001101000,00000000,--------,--------
1001010001111000,00000000,--------,--------
1001010010001000,00000000,--------,--------
1001010010011000,00000000,--------,--------
1001010010101000,00000000,--------,--------
1001010010111000,00000000,--------,--------
1001010011001000,00000000,--------,--------
1001010011011000,00000000,--------,--------
1001010011101000,00000000,--------,--------
1001010011111000,00000000,--------,--------
0010010000000000,00000000,--------,--------
0010010000010001,00000000,--------,--------
0010010000100010,00000000,--------,--------
0010010000110011,00000000,--------,--------
0010010001000100,00000000,--------,--------
0010010001010101,00000000,--------,--------
0010010001100110,00000000,--------,--------
0010010001110111,00000000,--------,--------
0010010010001000,00000000,--------,--------
0010010010011001,00000000,--------,--------
0010010010101010,00000000,--------,--------
0010010010111011,00000000,--------,--------
0010010011001100,00000000,--------,--------
0010010011011101,00000000,--------,--------
0010010011101110,00000000,--------,--------
0010010011111111,00000000,--------,--------
0010011100000000,00000000,--------,--------
0010011100010001,00000000,--------,--------
0010011100100010,00000000,--------,--------
0010011100110011,00000000,--------,--------
0010011101000100,00000000,--------,--------
0010011101010101,00000000,--------,--------
0010011101100110,00000000,--------,--------
0010011101110111,00000000,--------,--------
0010011110001000,00000000,--------,--------
0010011110011001,00000000,--------,--------
0010011110101010,00000000,--------,--------
0010011110111011,00000000,--------,--------
0010011111001100,00000000,--------,--------
0010011111011101,00000000,--------,--------
0010011111101110,00000000,--------,--------
0010011111111111,00000000,--------,--------
1001010000011010,11111111,00000000,--------
0000110000000000,00000000,00000000,00000000
0000110000000001,11111111,00000000,11111111
0000110000010001,11111110,11111111,11111111
0010010000000000,00000000,11111111,11111111
0010010000010001,00000000,11111110,11111110
1001011000000000,10000000,00000000,--------
1001011000000000,00000000,00000000,--------
1001011010010100,01100100,00000000,--------
1001011010010100,00000000,00000000,--------
0001110000100000,10000000,00000000,10000000
1001010000001000,00000000,--------,--------
0001110000110001,01100101,00000000,01100100
1001011011001111,11111111,00000000,--------
1001011011001111,00000000,00000000,--------
1001011011001111,11111110,11111111,--------
1001011011001111,00000001,00000000,--------
1001011011001111,11111101,11111110,--------
1001011011001111,00000001,00000000,--------
1001011000010001,00000010,00000001,--------
1001011000010001,00000000,00000000,--------
0010000001010001,00000000,00000010,01100100
0010000001010011,00000000,00000000,01100101
0010000001100001,00000000,00000000,01100100
1001011011111111,11111111,00000000,--------
1001011011111111,00000000,00000000,--------
1001011000000000,00000000,00000000,--------
1001011000000000,00000000,00000000,--------
1001011001011001,00011001,00000000,--------
1001011001011001,00000000,00000000,--------
1001011011101111,11111111,00000000,--------
1001011011101111,00000000,00000000,--------
1001011000110000,00000000,00000000,--------
1001011000110000,00000000,00000000,--------
1001011010000101,01100101,00000000,--------
1001011010000101,00000000,00000000,--------
1001011011011111,11111111,00000000,--------
1001011011011111,00000000,00000000,--------
1001011000100000,00000000,00000000,--------
1001011000100000,00000000,00000000,--------
1001011001110110,10010110,00000000,--------
1001011001110110,00000000,00000000,--------
1001010100001010,11111111,00000000,--------
