instruction      nextReg  expA     expB
1001010000001000,00000000,--------,--------
1001010000011000,00000000,--------,--------
1001010000101000,00000000,--------,--------
1001010000111000,00000000,--------,--------
1001010001001000,00000000,--------,--------
1001010001011000,00000000,--------,--------
1001010001101000,00000000,--------,--------
1001010001111000,00000000,--------,--------
1001010010001000,00000000,--------,--------
1001010010011000,00000000,--------,--------
1001010010101000,00000000,--------,--------
1001010010111000,00000000,--------,--------
1001010011001000,00000000,--------,--------
1001010011011000,00000000,--------,--------
1001010011101000,00000000,--------,--------
1001010011111000,00000000,--------,--------
0010010000000000,00000000,--------,--------
0010010000010001,00000000,--------,--------
0010010000100010,00000000,--------,--------
0010010000110011,00000000,--------,--------
0010010001000100,00000000,--------,--------
0010010001010101,00000000,--------,--------
0010010001100110,00000000,--------,--------
0010010001110111,00000000,--------,--------
0010010010001000,00000000,--------,--------
0010010010011001,00000000,--------,--------
0010010010101010,00000000,--------,--------
0010010010111011,00000000,--------,--------
0010010011001100,00000000,--------,--------
0010010011011101,00000000,--------,--------
0010010011101110,00000000,--------,--------
0010010011111111,00000000,--------,--------
0010011100000000,00000000,--------,--------
0010011100010001,00000000,--------,--------
0010011100100010,00000000,--------,--------
0010011100110011,00000000,--------,--------
0010011101000100,00000000,--------,--------
0010011101010101,00000000,--------,--------
0010011101100110,00000000,--------,--------
0010011101110111,00000000,--------,--------
0010011110001000,00000000,--------,--------
0010011110011001,00000000,--------,--------
0010011110101010,00000000,--------,--------
0010011110111011,00000000,--------,--------
0010011111001100,00000000,--------,--------
0010011111011101,00000000,--------,--------
0010011111101110,00000000,--------,--------
0010011111111111,00000000,--------,--------
1001010000011010,11111111,00000000,--------
0000110000000000,00000000,00000000,00000000
0000110000000001,11111111,00000000,11111111
0000110000010001,11111110,11111111,11111111
0010011110001000,00000000,00000000,00000000
0010011110101010,00000000,00000000,00000000
1001011001001100,00011100,00000000,--------
1001011001001100,00000000,00000000,--------
1001011000011010,00001010,00000000,--------
1001011000011010,00000000,00000000,--------
